,book_name,author_name,book_genre,year_published,edition_language,avg_rating,no_of_raters,score,no_of_ppl_voted,book_url
24,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,Fiction,2005,English,4.26,"405,445","74,251",776,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
25,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,Fantasy,2007,English,4.11,"1,483,909","73,422",777,https://www.goodreads.com/book/show/256683.City_of_Bones
26,"American Gods (American Gods, #1)",Neil Gaiman,Fantasy,2011,English,4.11,"690,048","72,013",748,https://www.goodreads.com/book/show/30165203-american-gods
27,The Secret Life of Bees,Sue Monk Kidd,Fiction,2003,English,4.04,"1,054,033","71,131",750,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
28,Extremely Loud and Incredibly Close,Jonathan Safran Foer,Fiction,2006,English,3.98,"362,290","70,843",732,https://www.goodreads.com/book/show/4588.Extremely_Loud_and_Incredibly_Close
29,The Glass Castle,Jeannette Walls,Nonfiction,2006,English,4.27,"814,640","68,571",722,https://www.goodreads.com/book/show/7445.The_Glass_Castle
30,My Sister's Keeper,Jodi Picoult,Fiction,2005,English,4.07,"990,172","65,817",696,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
31,"Angels & Demons (Robert Langdon, #1)",Dan Brown,Fiction,2006,English,3.89,"2,444,645","65,262",695,https://www.goodreads.com/book/show/960.Angels_Demons
32,Never Let Me Go,Kazuo Ishiguro,Fiction,2010,English,3.82,"418,583","60,967",641,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go
33,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,Fiction,2009,English,4.24,"760,564","60,881",658,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
34,Cloud Atlas,David Mitchell,Fiction,2004,English,4.02,"199,937","52,809",549,https://www.goodreads.com/book/show/49628.Cloud_Atlas
35,"The Host (The Host, #1)",Stephenie Meyer,Young Adult,2008,English,3.84,"841,533","50,575",542,https://www.goodreads.com/book/show/1656001.The_Host
36,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,Young Adult,2008,English,3.69,"1,208,607","49,913",539,https://www.goodreads.com/book/show/1162543.Breaking_Dawn
37,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Historical,2008,English,4.16,"551,102","49,429",526,https://www.goodreads.com/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society
38,"Eclipse (Twilight, #3)",Stephenie Meyer,Young Adult,2007,English,3.69,"1,297,947","48,271",524,https://www.goodreads.com/book/show/428263.Eclipse
39,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,Fiction,2010,English,4.22,"604,825","48,140",529,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest
40,"Eat, Pray, Love",Elizabeth Gilbert,Nonfiction,2007,English,3.54,"1,366,220","45,553",485,https://www.goodreads.com/book/show/19501.Eat_Pray_Love
41,"New Moon (Twilight, #2)",Stephenie Meyer,Young Adult,2006,English,3.53,"1,325,663","44,590",488,https://www.goodreads.com/book/show/49041.New_Moon
42,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,Fantasy,2009,English,4.33,"733,247","41,246",447,https://www.goodreads.com/book/show/3777732-city-of-glass
43,Kafka on the Shore,Haruki Murakami,Fiction,2006,English,4.13,"263,726","40,872",428,https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore
44,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,Fantasy,2007,English,4.54,"629,795","40,258",415,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
45,The Graveyard Book,Neil Gaiman,Fantasy,2008,English,4.13,"403,362","39,383",421,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
46,Room,Emma Donoghue,Fiction,2010,English,4.05,"657,453","38,631",417,https://www.goodreads.com/book/show/31685789-room
47,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,Fantasy,2008,English,4.19,"675,496","37,058",409,https://www.goodreads.com/book/show/1582996.City_of_Ashes
48,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Nonfiction,2006,English,3.96,"640,399","35,037",365,https://www.goodreads.com/book/show/1202.Freakonomics
49,The Brief Wondrous Life of Oscar Wao,Junot Díaz,Fiction,2007,English,3.90,"216,242","34,934",365,https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao
50,The Corrections,Jonathan Franzen,Fiction,2002,English,3.79,"148,178","34,525",364,https://www.goodreads.com/book/show/3805.The_Corrections
51,The Thirteenth Tale,Diane Setterfield,Fiction,2006,English,3.96,"257,830","32,531",346,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale
52,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,Nonfiction,2003,English,3.99,"461,683","32,529",349,https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City
53,The Night Circus,Erin Morgenstern,Fantasy,2011,English,4.04,"599,725","32,461",349,https://www.goodreads.com/book/show/9361589-the-night-circus
54,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,Nonfiction,2005,English,4.13,"423,599","32,320",350,https://www.goodreads.com/book/show/12691.Marley_and_Me
55,Gone Girl,Gillian Flynn,Fiction,2014,English,4.06,"2,058,770","32,281",355,https://www.goodreads.com/book/show/19288043-gone-girl
56,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,Young Adult,2013,English,4.13,"514,246","32,079",347,https://www.goodreads.com/book/show/18660669-vampire-academy
57,The Historian,Elizabeth Kostova,Fiction,2005,English,3.78,"231,090","31,473",335,https://www.goodreads.com/book/show/10692.The_Historian
58,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,Historical,2003,English,4.06,"438,117","31,428",344,https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl
59,Everything Is Illuminated,Jonathan Safran Foer,Fiction,2003,English,3.90,"158,473","31,264",329,https://www.goodreads.com/book/show/256566.Everything_Is_Illuminated
60,The Art of Racing in the Rain,Garth Stein,Fiction,2008,English,4.21,"421,903","31,152",337,https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain
61,Bel Canto,Ann Patchett,Fiction,2005,English,3.93,"226,252","31,049",331,https://www.goodreads.com/book/show/5826.Bel_Canto
62,No Country for Old Men,Cormac McCarthy,Fiction,2006,English,4.13,"131,371","31,025",330,https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men
63,"The Complete Persepolis (Persepolis, #1-4)",Marjane Satrapi,Sequential Art,2007,English,4.39,"102,858","30,523",323,https://www.goodreads.com/book/show/991197.The_Complete_Persepolis
64,The Namesake,Jhumpa Lahiri,Fiction,2004,English,3.98,"221,435","30,197",322,https://www.goodreads.com/book/show/33917.The_Namesake
65,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,Fiction,2004,English,4.01,"204,952","29,914",317,https://www.goodreads.com/book/show/46756.Oryx_and_Crake
66,Snow Flower and the Secret Fan,Lisa See,Historical,2006,English,4.07,"326,025","29,736",323,https://www.goodreads.com/book/show/1103.Snow_Flower_and_the_Secret_Fan
67,A Short History of Nearly Everything,Bill Bryson,Nonfiction,2004,English,4.20,"261,186","29,005",308,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
68,Jonathan Strange & Mr Norrell,Susanna Clarke,Fantasy,2006,English,3.82,"181,008","27,150",286,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
69,The Memory Keeper's Daughter,Kim Edwards,Fiction,2006,English,3.66,"539,314","26,842",295,https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter
70,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Fiction,2004,English,4.25,"142,991","24,263",252,https://www.goodreads.com/book/show/28881.Lamb
71,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,Nonfiction,2007,English,3.65,"312,964","23,682",257,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea
72,The Shack,William Paul Young,Fiction,2007,English,3.76,"498,212","23,622",254,https://www.goodreads.com/book/show/1812457.The_Shack
73,The God Delusion,Richard Dawkins,Nonfiction,2006,English,3.90,"211,811","23,473",247,https://www.goodreads.com/book/show/14743.The_God_Delusion
74,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,Nonfiction,2010,English,4.38,"682,515","22,834",244,https://www.goodreads.com/book/show/8664353-unbroken
75,Sarah's Key,Tatiana de Rosnay,Historical,2007,English,4.16,"395,970","22,659",251,https://www.goodreads.com/book/show/556602.Sarah_s_Key
76,Nineteen Minutes,Jodi Picoult,Fiction,2007,English,4.12,"286,032","21,685",240,https://www.goodreads.com/book/show/14866.Nineteen_Minutes
77,All the Light We Cannot See,Anthony Doerr,Historical,2014,English,4.33,"857,908","21,639",234,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
78,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,Nonfiction,2006,English,4.18,"168,962","20,734",219,https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma
79,The History of Love,Nicole Krauss,Fiction,2006,English,3.92,"116,582","20,423",220,https://www.goodreads.com/book/show/3867.The_History_of_Love
80,What Is the What,Dave Eggers,Fiction,2006,English,4.16,"71,597","20,301",214,https://www.goodreads.com/book/show/4952.What_Is_the_What
81,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Nonfiction,2007,English,3.92,"440,212","19,851",212,https://www.goodreads.com/book/show/40102.Blink
82,The White Tiger,Aravind Adiga,Fiction,2008,English,3.73,"146,187","19,609",214,https://www.goodreads.com/book/show/1768603.The_White_Tiger
83,The Boy in the Striped Pajamas,John Boyne,Historical,2006,English,4.13,"438,118","18,013",200,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas
84,Dress Your Family in Corduroy and Denim,David Sedaris,Humor,2004,English,4.10,"229,950","17,984",192,https://www.goodreads.com/book/show/10176.Dress_Your_Family_in_Corduroy_and_Denim
85,The Story of Edgar Sawtelle,David Wroblewski,Fiction,2008,English,3.62,"85,361","17,866",194,https://www.goodreads.com/book/show/2731276-the-story-of-edgar-sawtelle
86,Empire Falls,Richard Russo,Fiction,2002,English,3.93,"103,246","17,769",192,https://www.goodreads.com/book/show/187020.Empire_Falls
87,Looking for Alaska,John Green,Young Adult,2006,English,4.04,"1,011,446","17,739",195,https://www.goodreads.com/book/show/99561.Looking_for_Alaska
88,"Gilead (Gilead, #1)",Marilynne Robinson,Fiction,2006,English,3.85,"72,634","17,682",190,https://www.goodreads.com/book/show/68210.Gilead
89,John Adams,David McCullough,History,2001,English,4.06,"280,639","17,534",190,https://www.goodreads.com/book/show/2203.John_Adams
90,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,Nonfiction,2006,English,3.87,"93,094","17,239",187,https://www.goodreads.com/book/show/8600.Eats_Shoots_Leaves
91,A Million Little Pieces,James Frey,Fiction,2005,English,3.64,"208,637","16,910",183,https://www.goodreads.com/book/show/1241.A_Million_Little_Pieces
92,The Year of Magical Thinking,Joan Didion,Nonfiction,2007,English,3.89,"125,502","16,901",185,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking
93,Anansi Boys,Neil Gaiman,Fantasy,2006,English,4.02,"179,963","15,984",171,https://www.goodreads.com/book/show/2744.Anansi_Boys
94,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,Nonfiction,2007,English,3.97,"81,487","15,978",170,https://www.goodreads.com/book/show/43369.God_Is_Not_Great
95,"Insurgent (Divergent, #2)",Veronica Roth,Young Adult,2012,English,4.04,"1,065,731","15,483",179,https://www.goodreads.com/book/show/11735983-insurgent
96,11/22/63,Stephen King,Fiction,2011,English,4.31,"381,475","15,480",167,https://www.goodreads.com/book/show/10644930-11-22-63
97,People of the Book,Geraldine Brooks,Historical,2008,English,4.02,"117,235","15,282",167,https://www.goodreads.com/book/show/1379961.People_of_the_Book
98,Cutting for Stone,Abraham   Verghese,Fiction,2009,English,4.29,"322,775","14,812",160,https://www.goodreads.com/book/show/3591262-cutting-for-stone
99,"Ready Player One (Ready Player One, #1)",Ernest Cline,Science Fiction,2011,English,4.27,"757,407","14,440",158,https://www.goodreads.com/book/show/9969571-ready-player-one
100,Unaccustomed Earth,Jhumpa Lahiri,Fiction,2008,English,4.13,"75,527","13,957",153,https://www.goodreads.com/book/show/85301.Unaccustomed_Earth
101,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,Fantasy,2010,English,4.33,"602,738","13,613",153,https://www.goodreads.com/book/show/7171637-clockwork-angel
102,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,Nonfiction,2004,English,really,avg,"12,785",141,https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven
103,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,Nonfiction,2007,English,4.04,"94,629","12,612",136,https://www.goodreads.com/book/show/25460.Animal_Vegetable_Miracle
104,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Nonfiction,2010,English,4.06,"524,027","12,564",142,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks
105,The Goldfinch,Donna Tartt,Fiction,2013,English,3.91,"619,629","12,286",135,https://www.goodreads.com/book/show/17333223-the-goldfinch
106,We Need to Talk About Kevin,Lionel Shriver,Fiction,2006,English,4.07,"143,912","12,199",133,https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin
107,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,Fantasy,2005,English,3.89,"1,322,016","12,104",138,https://www.goodreads.com/book/show/113436.Eragon
108,The Five People You Meet in Heaven,Mitch Albom,Fiction,2003,English,3.93,"539,279","11,663",129,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven
109,On Beauty,Zadie Smith,Fiction,2006,English,3.72,"59,833","11,359",124,https://www.goodreads.com/book/show/3679.On_Beauty
110,The Known World,Edward P. Jones,Historical,2006,English,3.83,"32,893","11,310",124,https://www.goodreads.com/book/show/67.The_Known_World
111,"World Without End (Kingsbridge, #2)",Ken Follett,Historical,2007,English,4.26,"178,982","11,015",121,https://www.goodreads.com/book/show/5064.World_Without_End
112,The Martian,Andy Weir,Science Fiction,2014,English,4.40,"719,727","10,988",123,https://www.goodreads.com/book/show/18007564-the-martian
113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,Fantasy,2011,English,4.32,"513,602","10,920",122,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
114,Coraline,Neil Gaiman,Fantasy,2006,English,4.06,"431,371","10,783",121,https://www.goodreads.com/book/show/17061.Coraline
115,"Graceling (Graceling Realm, #1)",Kristin Cashore,Fantasy,2008,English,4.09,"356,219","10,734",121,https://www.goodreads.com/book/show/3236307-graceling
116,Freedom,Jonathan Franzen,Fiction,2010,English,3.75,"144,072","10,694",118,https://www.goodreads.com/book/show/7905092-freedom
117,Year of Wonders,Geraldine Brooks,Historical,2002,English,4.01,"124,795","10,616",118,https://www.goodreads.com/book/show/4965.Year_of_Wonders
118,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,Fantasy,2009,English,4.51,"594,379","10,422",121,https://www.goodreads.com/book/show/4556058-the-last-olympian
119,"The Maze Runner (The Maze Runner, #1)",James Dashner,Young Adult,2009,English,4.02,"923,366","9,900",114,https://www.goodreads.com/book/show/6186357-the-maze-runner
120,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,Fiction,2010,English,4.47,"43,050","9,741",105,https://www.goodreads.com/book/show/7822895-the-millennium-trilogy
121,The Elegance of the Hedgehog,Muriel Barbery,Fiction,2008,English,3.76,"137,876","9,638",107,https://www.goodreads.com/book/show/2967752-the-elegance-of-the-hedgehog
122,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,Fantasy,2011,English,4.13,"574,713","9,605",108,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
123,Thirteen Reasons Why,Jay Asher,Young Adult,2016,English,3.95,"710,871","9,501",107,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why
124,Seabiscuit: An American Legend,Laura Hillenbrand,Nonfiction,2003,English,4.22,"133,997","9,460",106,https://www.goodreads.com/book/show/110737.Seabiscuit
125,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,Fantasy,2006,English,4.24,"662,951","9,451",112,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters
126,World War Z: An Oral History of the Zombie War,Max Brooks,Horror,2006,English,4.01,"400,486","9,167",104,https://www.goodreads.com/book/show/8908.World_War_Z
127,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,Young Adult,2008,English,4.36,"311,808","9,162",104,https://www.goodreads.com/book/show/2802316-shadow-kiss
128,Shantaram,Gregory David Roberts,Fiction,2004,English,4.27,"144,511","9,014",96,https://www.goodreads.com/book/show/33600.Shantaram
129,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,Fantasy,2007,English,4.35,"608,423","8,899",107,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
130,The Last Lecture,Randy Pausch,Nonfiction,2008,English,4.26,"284,096","8,874",98,https://www.goodreads.com/book/show/2318271.The_Last_Lecture
131,"Frostbite (Vampire Academy, #2)",Richelle Mead,Young Adult,2008,English,4.29,"293,699","8,850",101,https://www.goodreads.com/book/show/2282133.Frostbite
132,2666,Roberto Bolaño,Fiction,2004,Spanish,4.21,"31,596","8,705",94,https://www.goodreads.com/book/show/63032.2666
133,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,Fiction,2009,English,3.70,"482,647","8,665",101,https://www.goodreads.com/book/show/6411961-the-lost-symbol
134,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,Nonfiction,2003,English,3.60,"110,259","8,284",94,https://www.goodreads.com/book/show/7603.Reading_Lolita_in_Tehran
135,"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout,Fiction,2008,English,3.82,"133,907","8,275",93,https://www.goodreads.com/book/show/1736739.Olive_Kitteridge
136,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,Fantasy,2008,English,4.39,"661,827","8,237",99,https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth
137,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,Fantasy,2011,English,3.91,"881,256","8,049",96,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children
138,The Plot Against America,Philip Roth,Fiction,2005,English,3.76,"37,524","8,032",92,https://www.goodreads.com/book/show/703.The_Plot_Against_America
139,The Tales of Beedle the Bard,J.K. Rowling,Fantasy,2008,English,4.08,"370,459","7,995",96,https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard
140,"Me Before You (Me Before You, #1)",Jojo Moyes,Romance,2013,English,4.26,"989,339","7,980",93,https://www.goodreads.com/book/show/17347634-me-before-you
141,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,Fantasy,2001,English,3.96,"479,024","7,874",91,https://www.goodreads.com/book/show/301082.Dead_Until_Dark
142,"Uglies (Uglies, #1)",Scott Westerfeld,Young Adult,2005,English,3.86,"526,390","7,826",91,https://www.goodreads.com/book/show/24770.Uglies
143,Peace Like a River,Leif Enger,Fiction,2002,English,really,avg,"7,773",86,https://www.goodreads.com/book/show/227571.Peace_Like_a_River
144,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,Fantasy,2011,English,4.14,"438,214","7,765",95,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels
145,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,Young Adult,2009,English,3.98,"529,062","7,735",88,https://www.goodreads.com/book/show/6339664-hush-hush
146,"Blood Promise (Vampire Academy, #4)",Richelle Mead,Young Adult,2009,English,4.34,"263,629","7,732",90,https://www.goodreads.com/book/show/5996153-blood-promise
147,Wolf Hall (Thomas Cromwell #1),Hilary Mantel,Historical,2010,English,3.86,"141,828","7,633",88,https://www.goodreads.com/book/show/6101138-wolf-hall
148,Let the Great World Spin,Colum McCann,Fiction,2009,English,3.95,"87,609","7,505",82,https://www.goodreads.com/book/show/5941033-let-the-great-world-spin
149,Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,Nonfiction,2002,English,3.62,"171,867","7,503",85,https://www.goodreads.com/book/show/1869.Nickel_and_Dimed
150,"Inkheart (Inkworld, #1)",Cornelia Funke,Fantasy,2005,English,3.88,"338,853","7,444",87,https://www.goodreads.com/book/show/28194.Inkheart
151,A Visit from the Goon Squad,Jennifer Egan,Fiction,2010,English,3.66,"164,163","7,405",83,https://www.goodreads.com/book/show/7331435-a-visit-from-the-goon-squad
152,Running with Scissors,Augusten Burroughs,Autobiography,2003,English,3.72,"333,656","7,246",84,https://www.goodreads.com/book/show/242006.Running_with_Scissors
153,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,English,really,avg,"7,225",81,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane
154,The Invention of Hugo Cabret,Brian Selznick,Historical,2007,English,4.24,"151,476","7,026",82,https://www.goodreads.com/book/show/9673436-the-invention-of-hugo-cabret
155,The Yiddish Policemen's Union,Michael Chabon,Fiction,2007,English,3.70,"59,314","6,984",78,https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union
156,1Q84,Haruki Murakami,Fiction,2011,English,3.92,"177,824","6,867",78,https://www.goodreads.com/book/show/10357575-1q84
157,"The Passage (The Passage, #1)",Justin Cronin,Horror,2010,English,4.04,"174,312","6,820",74,https://www.goodreads.com/book/show/6690798-the-passage
158,Hotel on the Corner of Bitter and Sweet,Jamie Ford,Historical,2009,English,4.01,"248,664","6,724",76,https://www.goodreads.com/book/show/3367956-hotel-on-the-corner-of-bitter-and-sweet
159,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,Fantasy,2003,English,3.91,"107,911","6,534",69,https://www.goodreads.com/book/show/27003.The_Eyre_Affair
160,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,Fantasy,2010,English,4.35,"563,570","6,455",80,https://www.goodreads.com/book/show/7736182-the-lost-hero
161,Little Bee,Chris Cleave,Fiction,2010,English,3.71,"216,812","6,403",74,https://www.goodreads.com/book/show/6948436-little-bee
162,Shutter Island,Dennis Lehane,Mystery,2004,English,4.09,"146,663","6,324",72,https://www.goodreads.com/book/show/21686.Shutter_Island
163,Black Swan Green,David Mitchell,Fiction,2007,English,3.98,"33,759","6,300",68,https://www.goodreads.com/book/show/14316.Black_Swan_Green
164,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,Young Adult,2010,English,4.36,"250,583","6,285",74,https://www.goodreads.com/book/show/6479259-spirit-bound
165,The Forgotten Garden,Kate Morton,Fiction,2008,English,4.14,"180,948","6,277",71,https://www.goodreads.com/book/show/3407877-the-forgotten-garden
166,Fingersmith,Sarah Waters,Historical,2002,English,4.02,"70,020","6,270",70,https://www.goodreads.com/book/show/45162.Fingersmith
167,Mystic River,Dennis Lehane,Mystery,2001,English,4.18,"114,879","6,214",73,https://www.goodreads.com/book/show/21671.Mystic_River
168,One Day,David Nicholls,Fiction,2009,English,3.78,"271,177","6,112",68,https://www.goodreads.com/book/show/6280118-one-day
169,"Delirium (Delirium, #1)",Lauren Oliver,Young Adult,2012,English,3.98,"398,269","6,069",73,https://www.goodreads.com/book/show/11614718-delirium
